"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",103.2198,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",103.1707,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",103.1287,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",103.1029,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",103.0914,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",103.0532,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",102.919,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",102.6298,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",102.2711,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",101.953,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",101.7601,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.661,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.619,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.6096,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.581,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.4632,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",101.1967,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.8505,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",100.5065,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",100.2244,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",100.0042,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",99.84973,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",99.7715,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",99.72251,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",99.64949,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",99.51455,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",99.34097,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",99.15735,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",98.98031,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",98.8074,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",98.63049,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",98.44522,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",98.26431,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",98.11205,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",98.01434,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.96024,
